Nibble Superior	Nibble Inferior															
	_0	_1	_2	_3	_4	_5	_6	_7	_8	_9	_A	_B	_C	_D	_E	_F
0_	NOP			PHA	PPA	RET	INA	DEA	INX	DEX	SLA	SRA	SAA	CLD	CLR	NOA
1_	LDA 	STA 	ANA 	ORA 	ADA 	SUA 	ARA 	CPA 	LDX 	STX 	CPX #	LDP 	STP 			
2_	LDA #		ANA #	ORA #	ADA #	SUA #	ARA #	CPA #	LDX #		CPX 	LDP #				
3_	LDA , X	STA , X	ANA , X	ORA , X	ADA , X	SUA , X	ARA , X	CPA , X	LDX , X	STX , X	CPX , X	LDP , X	STP , X			
4_	XAB	TAB	TBA	PHB	PPB		INB	DEB	ABA 	SBA	SLD	SRD	SAD	PPF	PHF	NOB
5_	LDB 	STB 	ANB 	ORB 	ADB 	SUB 	ARB 	CPB 	CAL 	BRA 	DBN 	MUL 	DIV 			
6_	LDB #		ANB #	ORB #	ADB #	SUB #	ARB #	CPB #				MUL #	DIV #			
7_	LDB , X	STB , X	ANB , X	ORB , X	ADB , X	SUB , X	ARB , X	CPB , X	CAL , X	BRA , X	DBN , X	MUL , X	DIV , X			
8_	TDX	TXD	TPX	PHX	PPX				INP	DEP				SED	SER	
9_	LDA []	STA []	ANA []	ORA []	ADA []	SUA []	ARA []	CPA []	LDX []	STX []	CPX []	LDP []	STP []			
A_	BRE 	BNE 	BRL 	BLE 	BRG 	BGE 	BRR 	BRD 								
B_	LDA [], X	STA [], X	ANA [], X	ORA [], X	ADA [], X	SUA [], X	ARA [], X	CPA [], X	LDX [], X	STX [], X	CPX [], X	LDP [], X	STP [], X			
C_	LDA [ , X]	STA [ , X]	ANA [ , X]	ORA [ , X]	ADA [ , X]	SUA [ , X]	ARA [ , X]	CPA [ , X]	LDX [ , X]	STX [ , X]	CPX [ , X]	LDP [ , X]	STP [ , X]			
D_	LDB []	STB []	ANB []	ORB []	ADB []	SUB []	ARB []	CPB []	CAL []	BRA []	DBN []	MUL []	DIV []			
E_	LDB [], X	STB [], X	ANB [], X	ORB [], X	ADB [], X	SUB [], X	ARB [], X	CPB [], X	CAL [], X	BRA [], X	DBN [], X	MUL [], X	DIV [], X			
F_	LDB [ , X]	STB [ , X]	ANB [ , X]	ORB [ , X]	ADB [ , X]	SUB [ , X]	ARB [ , X]	CPB [ , X]	CAL [ , X]	BRA [ , X]	DBN [ , X]	MUL [ , X]	DIV [, X]			
																
#	Imediato															
 	Direto	(contém espaço)														
, X	Indexado															
[]	Indireto															
[ , X]	Pré-indexado															
[], X	Pós-indexado															
	Implícito															
